Basecamp,Program,Accomplishment Title,Accomplishment Description,Accomplishment Date,Milestone Title,Milestone Description,Milestone Physical Accomplishment,Milestone Financial Accomplishment,Milestone Date,Bottlenecks,Spillover Title,Spillover Description,Spillover Initial Target,Spillover New Target,Catch-up Activities Title,Catchup Activities Description,Catchup Activities Target Date
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Completed Staff Work (CSW),"This program aimed to provide a comprehensive and systematic process of analyzing a problem or concern, recommending the best solutions, and presenting proposed action for consideration of the supervisor/manager through the Completed Staff Work (CSW). At the end of this course, participants are expected to learn the essential components, processes, and techniques in preparing a CSW. Moreover, they were equipped with better problem-solving, presentation of issues and proposals, program management, and informed decision-making to allow the top management to take intelligent and effective action. ",August to November 2025,LDI on CSW - Batch 1,"Intended for CO Personnel, with majority holding plantilla positions, who have not yet attended any CSW training",35 participants attended the L&D intervention,,"August 26-29, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Completed Staff Work (CSW),"This program aimed to provide a comprehensive and systematic process of analyzing a problem or concern, recommending the best solutions, and presenting proposed action for consideration of the supervisor/manager through the Completed Staff Work (CSW). At the end of this course, participants are expected to learn the essential components, processes, and techniques in preparing a CSW. Moreover, they were equipped with better problem-solving, presentation of issues and proposals, program management, and informed decision-making to allow the top management to take intelligent and effective action. ",August to November 2026,LDI on CSW - Batch 2,"Intended for CO Personnel, with majority holding plantilla positions, who have not yet attended any CSW training",24 participants attended the L&D intervention,,"September 23-26, 2025","Backing out of initially confirmed participants due to conflict of schedule, heavy workload, and/or disapproval of travel authority",N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Completed Staff Work (CSW),"This program aimed to provide a comprehensive and systematic process of analyzing a problem or concern, recommending the best solutions, and presenting proposed action for consideration of the supervisor/manager through the Completed Staff Work (CSW). At the end of this course, participants are expected to learn the essential components, processes, and techniques in preparing a CSW. Moreover, they were equipped with better problem-solving, presentation of issues and proposals, program management, and informed decision-making to allow the top management to take intelligent and effective action. ",August to November 2027,LDI on CSW - Batch 3,Intended for COS Personnel in the Central Office who have not yet attended any CSW training,35 participants attended the L&D intervention,,"November 5-7, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Participation of CO employees to external L&D interventions targeting core and functional competencies through external LSPs,"This opportunity is intended for highly technical/functional L&D interventions which are unique to the needs of the individual and/or office and are not currently offered by the FY 2025 in-house LINANG training programs. 
Availment of ELDIs must:​ 
- Be responsive to the L&D needs of the employees evidenced by their Individual Development Plan (IDP); and​ 
- Cover programs that can earn Continuous Professional Development Units for Licensed Non-Teaching Professionals and Mandatory Continuous Legal Education for our Lawyers.​ ",January to December 2025,Participation of CO employees to external L&D interventions through external Learning Service Providers (LSPs),"This L&D opportunity is provided for DepEd NTP to participate in external  L&D interventions (ELDIs) publicly offered by external LSPs that contributed to improved core and functional competencies among first and second level employees, as well as third level officials.

ELDIs participated by CO personnel also covered various learning modalities, such as in-person, online, hybrid, and self-paced, which provided more flexibility and accessibility in their professional development.","181 CO employees attended ELDIs targeting core and functional competencies

1,019 field NTPs attended self-paced e-learning courses","11,957,500.00",January to December 2025,N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Draft L&D Needs Assessment Tool for Central Office,"An online self-assessment tool for Central Office employees, regardless of employment status, which is used to identify competency gaps, priority learning needs, and development interventions required to support individual and organizational performance across DepEd bureaus/services.

The results from this tool shall also serve as a baseline in drafting the L&D Plan of each office/division.",Dec-25,Draft LDNA Tool for Central Office,"An online self-assessment tool for Central Office employees, regardless of employment status, which is used to identify competency gaps, priority learning needs, and development interventions required to support individual and organizational performance across DepEd bureaus/services.

The results from this tool shall also serve as a baseline in drafting the L&D Plan of each office/division.",1 draft LDNA Tool, N/A ,Dec-25,Prioritization of the implementation of in-house L&D offerings,Accomplishment of the 2026 L&D Needs Assessment Survey in the Central Office,"Dissemination of the 2026 L&D Needs Assessment (LDNA) Survey Tool to Central Office personnel through an Office Memorandum and multiple communication channels, with completion targeted within a prescribed period.",Dec-25,Jan-26,N/A,N/A,N/A
Career Progression for DepEd Personnel,Regional Learning & Development Program,,"Supports L&D initiatives aligned with the approved Learning and Development plans of each region, ensuring context-specific and regionally relevant interventions targeting the core and functional (common) competencies of non-teaching personnel in the RO, SDOs and DepEd Schools.  ",,,,,,,,,,,,,,
Career Progression for DepEd Personnel,CO-Organized Learning & Development Program,,"Provides functional competency-based (unique) L&D interventions developed by a specific Central Office unit, designed to benefit their non-teaching counterparts in the field offices.",,,,,,,,,,,,,,
Career Progression for DepEd Personnel,National Assessment for School Heads (NASH),,"The National Assessment for School Heads (NASH), formerly known as the National Qualifying Examination for School Heads (NQESH), is a developmental assessment tool designed to evaluate the readiness of aspiring school heads and identify areas for improvement.  Unlike NQESH, which served primarily as a qualifying exam, NASH measures an individual’s competency level to determine whether they are prepared for a school leadership role or need targeted interventions before assuming the position. It also helps participants gain insights into their strengths, which may indicate a stronger alignment with the teaching track rather than school leadership ",,,,,,,,,,,,,,
Workforce Plan and Management,School Organizational Structure and Staffing Standards (SOSSS),"Draft DepEd-DBM JMC on the SOSSS

Draft DepEd Order on the SOSSS","The thrust of effective schools begins with an appropriate staffing pattern. Due to the changing landscape of school operations ams delivery of basic education services, there is a pressing need to align the existing staffing structure of DepEd schools.",Q2-Q4 FY 2025, Policy Writeshop on the Draft DepEd Order on SOSSS (Phase 1-2),"
Key BHROD and field representatives will be engaged to provide valuable insights in making sure that policy provisions are anchored on the realities of schools. This shall likewise be a platform to review implementation plans and challenges that may arise, considering significant changes ahead. Ultimately, the goal is to strengthen the alignment of HROD goals and broader agenda for schools.",2,215000,"September 10-12, 2025 
November 18-20, 2025",,Issuance of JMC and DO on SOSSS,"The thrust of effective schools begins with an appropriate staffing pattern. Due to the changing landscape of school operations ams delivery of basic education services, there is a pressing need to align the existing staffing structure of DepEd schools.",Q4 FY 2025,Q1 FY 2026,N/A,N/A,N/A
Workforce Plan and Management,School Organizational Structure and Staffing Standards (SOSSS),"Draft DepEd-DBM JMC on the SOSSS

Draft DepEd Order on the SOSSS","The thrust of effective schools begins with an appropriate staffing pattern. Due to the changing landscape of school operations ams delivery of basic education services, there is a pressing need to align the existing staffing structure of DepEd schools.",Q2-Q4 FY 2026,[Activity 2] Validation Workshop on the SOSSS with Select Field Representatives (Cluster 1-3),"The selected male and female representatives from Regional, Schools Division and Schools who are expected to be involved in the implementation of the proposed policy will convene to assess the feasibility of the guidelines. This includes a review of implementation arrangements, changes in reporting structures, recalibration of roles, functions and responsibilities among other considerations. ",3,1151380.64,"
September 24-26, 2025
October 27-29, 2025
November 3-5, 2025
",,Consultation with other interest groups and stakeholders on the proposed SOSSS,"The consultation with stakeholders and other interest groups will provide a platform for open dialogue, addresses concerns, incorporates recommendations, and helps build shared understanding and support to strengthen the final design and implementation of the SOSSS.",Q1 FY 2025,Q1 FY 2026,N/A,N/A,N/A
Workforce Plan and Management,School Organizational Structure and Staffing Standards (SOSSS),"Draft DepEd-DBM JMC on the SOSSS

Draft DepEd Order on the SOSSS","The thrust of effective schools begins with an appropriate staffing pattern. Due to the changing landscape of school operations ams delivery of basic education services, there is a pressing need to align the existing staffing structure of DepEd schools.",Q2-Q4 FY 2027,[Activity 3] Validation Workshop on the SOSSS with CO Key Representatives,"Together with Central Office (CO) representatives whose programs, projects or services are being implemented at the school level, the heart of this activity is to ensure that the proposed school structure and staffing standards complement and harmonize with existing school-based processes and services, creating a more balanced and effective system for schools. The workshop also intends to explore mitigating and enabling mechanisms for the prospective implications of SOSSS policy. ",1,203430,"October 21-23, 2025",,Meetings with crucial Central Office Representatives,,Q1 FY 2025,Q1 FY 2026,N/A,N/A,N/A
Workforce Plan and Management,School Organizational Structure and Staffing Standards (SOSSS),"Draft DepEd-DBM JMC on the SOSSS

Draft DepEd Order on the SOSSS","The thrust of effective schools begins with an appropriate staffing pattern. Due to the changing landscape of school operations ams delivery of basic education services, there is a pressing need to align the existing staffing structure of DepEd schools.",Q2-Q4 FY 2028,[Activity 4] Validation Workshop with the SOSSS Technical Working Group (TWG),"The selected male and female representatives from Regional, Schools Division and Schools who are expected to be involved in the implementation of the proposed policy will convene to assess the feasibility of the guidelines. This includes a review of implementation arrangements, changes in reporting structures, recalibration of roles, functions and responsibilities among other considerations. ",1,110980,"December 1-3, 2025",,,,,,N/A,N/A,N/A
Workforce Plan and Management,School Organizational Structure and Staffing Standards (SOSSS),"Draft DepEd-DBM JMC on the SOSSS

Draft DepEd Order on the SOSSS","The thrust of effective schools begins with an appropriate staffing pattern. Due to the changing landscape of school operations ams delivery of basic education services, there is a pressing need to align the existing staffing structure of DepEd schools.",Q2-Q4 FY 2029,[Activity 5] Capacity Building and Orientation for the SOSSS Policy (Batch 1-2),"The capacity building activity aims to deepen the field’s understanding  of the SOSSS and how it will impact the day-to-day school operations. This also includes orienting field representatives on the direction and key provisions of the school structure and staffing standards outlined in the policy. Lastly, the goal is to equip our field counterparts with practical strategies and tools to continuously support schools in the effective adoption and long-term compliance with the SOSSS policy.",2,465962,"December 9-11, 2025
December 11-13, 2025
",,,,,,N/A,N/A,N/A
Workforce Plan and Management,School Organizational Structure and Staffing Standards (SOSSS),"Draft DepEd-DBM JMC on the SOSSS

Draft DepEd Order on the SOSSS","The thrust of effective schools begins with an appropriate staffing pattern. Due to the changing landscape of school operations ams delivery of basic education services, there is a pressing need to align the existing staffing structure of DepEd schools.",Q2-Q4 FY 2030,DepEd-DBM Interface meeting,"The interface meeting between DepEd and DBM serves as a formal coordination venue to ensure policy, technical, and budgetary alignment on the proposed SOSSS. It aims to address concerns, harmonize positions, and secure DBM approval to support its implementation.",2,N/A,"July 9, 2025
10/30/2025",,,,,,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New School-based Non-teaching Items,Annual creation of new school-based AO II items,"Created on April 14, 2025 but issuance of NOSCA commenced after the lifting of the election ban on May 13, 2025.",Creation of New School-based Non-teaching Items,Created new school-based AO II items,10000,Data not available as this is funded under MPBF,"Created on April 14, 2025 but issuance of NOSCA commenced after the lifting of the election ban on May 13, 2025.",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New School-based Non-teaching Items,Annual creation of new school-based AO II items,"Created on April 14, 2025 but issuance of NOSCA commenced after the lifting of the election ban on May 13, 2025.",Issuance of the deployment guidelines through DM-OUHROD-2025-0886,Full details of the allocation and deployment of the newly-created school-based AO II items,1,None,"April 2, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New School-based Non-teaching Items,Annual creation of new school-based AO II items,"Created on April 14, 2025 but issuance of NOSCA commenced after the lifting of the election ban on May 13, 2025.",Online orientation on the allocation and deployment of newly-created school-based AO II items,This activity aims to discuss the full details of the deployment guidelines and provide technical assistance to HRMOs in the allocation and deployment of the newly-created school-based AO II items,1,None,"April 14-15, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New School-based Non-teaching Items,Annual creation of new school-based AO II items,"Created on April 14, 2025 but issuance of NOSCA commenced after the lifting of the election ban on May 13, 2025.",Filling-up of Newly-created school-based non-teaching items,Filled-up newly-created school-based AO II items,"9,680 (96.80%)",Data not available as this is funded under MPBF,"December 15, 2025",Administrative bottlenecks due to the volume of application documents in need of processing,N/A,N/A,N/A,N/A,Filling up of remaining unfilled newly-created positions,Hiring is ongoing,Dec-25
Workforce Plan and Management,New School Personnel Positions,Creation of New Teaching Items,Annual creation of new teaching items,"Batch 1 - May 15, 2025

Batch 2 - June17, 2025",Creation of New Teaching Items,Created new teaching items,20000,"GAA - 3,810,065,000
Adjusted Allotment - 498,274,182

Note: Frontloading

Data Source: SAAODB as of Q3 of 2025","Batch 1 - May 15, 2025

Batch 2 - June17, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New Teaching Items,Annual creation of new teaching items,"Batch 1 - May 15, 2025

Batch 2 - June17, 2026",Issuance of the Special hiring Arrangement deployment guidelines through DM-OUHROD-2025-0629 for SY 2025-2026,"Full details of the hiring, allocation and deployment of the SPIMS and DOST scholar beneficiaries under the Special hiring arrangements",1,None,"March 10, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New Teaching Items,Annual creation of new teaching items,"Batch 1 - May 15, 2025

Batch 2 - June17, 2027",Online orientation on the allocation and deployment of SPIMS and DOST scholar beneficiaries under Special hiring Arrangements,"This activity aims to discuss the full details of the guidelines on hiring, assessment and deployment of SPIMS and DOST scholar beneficiaries and to provide technical assistance to HRMOs",1,None,"March 18, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New Teaching Items,Annual creation of new teaching items,"Batch 1 - May 15, 2025

Batch 2 - June17, 2028",Issuance of the deployment guidelines through DM-OUHROD-2025-1226 for SY 2025-2026,Full details of the allocation and deployment of the newly-created teaching positions,1,None,"May 13, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New Teaching Items,Annual creation of new teaching items,"Batch 1 - May 15, 2025

Batch 2 - June17, 2029",Online orientation on the allocation and deployment of newly-created teaching items,This activity aims to discuss the full details of the deployment guidelines and to provide technical assistance to HRMOs in the allocation and deployment of the newly-created teaching items,1,None,"May 26, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workforce Plan and Management,New School Personnel Positions,Creation of New Teaching Items,Annual creation of new teaching items,"Batch 1 - May 15, 2025

Batch 2 - June17, 2030",Filling-up of Newly-created Teaching Items,Filled-up newly-created teaching items,"18,508 (92.54%)","Obligation - 66,844,955 (13.42%)

Note: Frontloading

Data Source: SAAODB as of Q3 of 2025","December 15, 2025","Lack of qualified applicants by specialization in JHS and SHS

Administrative bottlenecks due to the volume of application documents in need of processing",N/A,N/A,N/A,N/A,Filling up of remaining unfilled newly-created positions,Hiring is ongoing,Dec-25
Workforce Plan and Management,Workforce Management Project/programs,Creation of plantilla positions/items ,,2025,Creation of New Non-Teaching Items,Created new non-teaching items,"CO - 25
ROs - 56
SDOs - 773
 
TOTAL: 854",,2025,,"1. Consultation of Draft SDO Classification
2. Validation of Draft SDO Classification
3. Finalization of Draft SDO Classification","Review and update parameters on SDO size classification to ensure an efficient organizational structure, proper manpower allocation, and responsiveness to the evolving needs of the education system. ",2025,2026,"
1. Validation Workshop on the Draft Workforce Plan for Regional and Schools Division Offices - Phase 1​
2. Validation Workshop on the Draft Workforce Plan for Regional and Schools Division Offices - Phase 2​
3. Finalization Workshop on the Draft Workforce Plan​
4. Policy Writeshop on Workforce Plan​

",,2026
HROD Process Excellence,Performance Management - General Enabling Mechanisms,DepEd Order on the Performance Management and Evaluation System (PMES),"The DepEd Order on the PMES Guidelines aims to revise, update and harmonize the existing framework of performance management. This initiative directly addresses the provisions and processes that were initially established under DepEd Order No. 2, s. 2015, or the Results-based Performance Management System (RPMS), ensuring all DepEd officials and personnel follow a unified performance management forms and standard.",Q3-Q4 2025 ,Strand Memorandum on the Additional Guidance on the Implementation of PMES ,"While the DepEd Order on the PMES Guidelines is still in the finalization phase, the Strand Memorandum on the Additional Guidance on the Implementation of PMES was issued to lift the suspension of performance management implementation in the school level, update the interim OPCRF with School KRAs, and provide additional clarifications in accomplishing the updated interim OPCRF.  










Interim Guidelines of Office Performance Planning and Assessment for FY 2024 Onwards (DM-OUHROD-2024-0586)","DM-OUHROD-2025-0922
- Strand Memorandum on the Additional Guidance on the Implementation of PMES",N/A,45757,"Reprioritization of BHROD-HRDD Programs (i.e., Expanded Career Progression Guidelines including its Advocacy and Communication Plan and Capacity Building for ECP Champions)
and 
Revalidation with concerned offices such as Policy and Planning Service and Legal Service on the critical provisions and processes on the draft DepEd Order on PMES Guidelines such as alignment of PMES calendar of activities with Planning, Budgeting, Monitoring and Evaluation, performance management appeal process et. al. ",N/A,N/A,N/A,N/A,N/A,N/A,
HROD Process Excellence,Performance Management - General Enabling Mechanisms,Sustained Increase for Productivity and Accountable Growth (SIPAG) for HR-Performance Management System ,The SIPAG performance management system is a continuous and digitally-enabled HROD initiative designed to strategically transform the performance management in DepEd Central Office. ,Q2-Q4 2025,SIPAG Phase I: Internal Pilot Testing,"The pilot testing of SIPAG system aims to ensure its accurate, efficient, and streamline usage prior to  its deployment. ",Deployed SIPAG system into Azure ,N/A,Q2-24 2025,Bugs encountered and continuous process enhancement in the SIPAG System,Deployment of SIPAG System within DepEd Central Office ,"The deployment of SIPAG System within Central Office is necessary to gather the collective inputs and feedback of DepEd users (i.e., DepEd Officials and Personnel) in its usability,  technical stability, functionality and content prior to its full implementation. ",45992,46023,Deployment of SIPAG System within DepEd Central Office ,"The deployment of SIPAG System within Central Office is necessary to gather the collective inputs and feedback of DepEd users (i.e., DepEd Officials and Personnel) in its usability,  technical stability, functionality and content prior to its full implementation. ",
HROD Process Excellence,Performance Management - General Enabling Mechanisms,PMES Capacity Building for Approving Authorities ,This capacity-building initiative is designed to strengthen and promote uniform implementation of the PMES guidelines in DepEd. ,"October 7-9, 2025",Orientation-Training on the Performance Management and Evaluation System (PMES) with Approving Authorities in Luzon Cluster ,"These sessions aimed at orienting Approving Authorities  and PMT members to be able to:  a) identity and clarify the critical roles and responsibilities in the implementation of performance management policy in the Department; b) equip with the necessary tools, criteria and best practices for fair and effective performance reviews and evaluation;  
c) reinforce skills in conducting coaching and feedback mechanisms and professional development initiatives for performance enhancement; and 
d) understand the rationale for revising RPMS guidelines and discuss its possible key changes.  ",Oriented 79 Approving Authorities in Luzon Cluster ,,"October 7-9, 2025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HROD Process Excellence,Performance Management - General Enabling Mechanisms,PMES Capacity Building for Approving Authorities ,This capacity-building initiative is designed to strengthen and promote uniform implementation of the PMES guidelines in DepEd. ,"October 15-17, 2025",Orientation-Training on the Performance Management and Evaluation System (PMES) with Approving Authorities in Luzon and Visayas Cluster ,,Oriented 95 Approving Authorities in Luzon and Visayas Cluster ,,"October 15-17, 2025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HROD Process Excellence,Performance Management - General Enabling Mechanisms,PMES Capacity Building for Approving Authorities ,This capacity-building initiative is designed to strengthen and promote uniform implementation of the PMES guidelines in DepEd. ,"October 28-30, 2025",Orientation-Training on the Performance Management and Evaluation System (PMES) with Approving Authorities in Visayas and Mindanao Cluster ,,Oriented 79 Approving Authorities in Visayas and Mindanao Cluster ,,"October 28-30, 2025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HROD Process Excellence,Performance Management - General Enabling Mechanisms,PMES Capacity Building for Approving Authorities ,This capacity-building initiative is designed to strengthen and promote uniform implementation of the PMES guidelines in DepEd. ,"November 28, 2025 and December 10, 2025, respectively",Orientation-Training on the Performance Management and Evaluation System (PMES) with Approving Authorities in DepEd Central Office,,Oriented 53 Approving Authorities in DepEd Central Office Batch,,"November 28 and December 10, 2025 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HROD Process Excellence,Performance Management - General Enabling Mechanisms,PMES Capacity Building for Performance Management Team (PMT) Members,This capacity-building initiative is designed to strengthen and promote uniform implementation of the PMES guidelines in DepEd. ,"November 12-14, 2025",Orientation-Training on the Performance Management and Evaluation System (PMES) with PMT Members - Luzon Cluster ,,Not implemented,Unutilized budget,"November 12-14, 2025","Compliance with EASU protocols in the procurement of board and lodging

",Orientation-Training on the Performance Management and Evaluation System (PMES) with PMT Members - Luzon Cluster ,"The orientation sessions for PMT members were held to ensure effective performance management implementation by clarifying their critical roles and responsibilities and equipping them with the necessary tools, criteria, and best practices for conducting fair performance reviews and evaluations.","November 12-14, 2025","July 14-15, 2026",Capacity Building on the Performance Management and Evaluation System (PMES) with PMT Members (Batch 1),,
HROD Process Excellence,Performance Management - General Enabling Mechanisms,PMES Capacity Building for Performance Management Team (PMT) Members,This capacity-building initiative is designed to strengthen and promote uniform implementation of the PMES guidelines in DepEd. ,"November 18-20, 2025",Orientation-Training on the Performance Management and Evaluation System (PMES) with PMT Members - Luzon and Visayas Cluster ,,Not implemented,Unutilized budget,"November 18-20, 2025",,Orientation-Training on the Performance Management and Evaluation System (PMES) with PMT Members - Luzon and Visayas Cluster ,,"November 18-20, 2025","July 21-23, 2026",Capacity Building on the Performance Management and Evaluation System (PMES) with PMT Members (Batch 2),,
HROD Process Excellence,Performance Management - General Enabling Mechanisms,PMES Capacity Building for Performance Management Team (PMT) Members,This capacity-building initiative is designed to strengthen and promote uniform implementation of the PMES guidelines in DepEd. ,"November 26-28, 2025",Orientation-Training on the Performance Management and Evaluation System (PMES) with PMT Members - Visayas and Mindanao Cluster ,,Not implemented,Unutilized budget,"November 26-28, 2025",,Orientation-Training on the Performance Management and Evaluation System (PMES) with PMT Members - Visayas and Mindanao Cluster ,,"November 26-28, 2025","July 27-29, 2026",Capacity Building on the Performance Management and Evaluation System (PMES) with PMT Members (Batch 3),,
HROD Process Excellence,Performance Management - General Enabling Mechanisms,PMES Capacity Building for Performance Management Team (PMT) Members,This capacity-building initiative is designed to strengthen and promote uniform implementation of the PMES guidelines in DepEd. ,45996,Orientation-Training on the Performance Management and Evaluation System (PMES) with PMT Members - DepEd Central Office,,Not implemented,Unutilized budget,45996,,Orientation-Training on the Performance Management and Evaluation System (PMES) with PMT Members - DepEd Central Office,,45996,"August 4-6, 2026",Capacity Building on the Performance Management and Evaluation System (PMES) with PMT Members (Batch 4),,
HROD Process Excellence,Performance Management - PMES for Teachers,DepEd Memorandum on the Multi-Year Performance and Evaluation System (PMES) for Teachers for SY 2025-2026 to SY 2027-2028,"DepEd Memorandum (DM) No. 089, s. 2025 establishes comprehensive guidelines for assessing teacher performance over school years, thereby addressing the need for continuity and consistency in teachers' performance management and evaluation pursuant to the PPST. This also marks the commencement of a new three-year cycle of teacher performance assessment, covering all 37 PPST indicators.",45931,Review and Quality Assurance of the Draft Multi-Year PMES for Teachers," This workshop rigorously reviewed the draft multi-year guidelines to ensure its relevance, accuracy, and alignment with the Professional Standards for Teachers (PPST) and the current context and practice in the field.  ",1,,"May 6-9, 2025",,,,,,Consultation Workshop with Stakeholders for the Development of the PMES Tool for Distinguished Teachers,,
HROD Process Excellence,Performance Management - PMES for Teachers,DepEd Memorandum on the Multi-Year Performance and Evaluation System (PMES) for Teachers for SY 2025-2026 to SY 2027-2029,"DepEd Memorandum (DM) No. 089, s. 2025 establishes comprehensive guidelines for assessing teacher performance over school years, thereby addressing the need for continuity and consistency in teachers' performance management and evaluation pursuant to the PPST. This also marks the commencement of a new three-year cycle of teacher performance assessment, covering all 37 PPST indicators.",,Consultation Workshop with Stakeholders for the Drafting of the Multi-Year PMES for Teachers," This workshop rigorously reviewed the draft multi-year guidelines to ensure its relevance, accuracy, and alignment with the Professional Standards for Teachers (PPST) and the current context and practice in the field.  ",1,,"May 20-23, 2025",,,,,,Review and Quality Assurance of the draft PMES Tool for Distinguished Teachers,,
HROD Process Excellence,Performance Management - PMES for Teachers,PMES Tools for Teachers for SY 2025-2026 (across career stages),,,Validation of the Draft Multi-Year PMES for Teachers,"The validation workshop ensured that the draft PMES and its associated tools for teachers are aligned with the professional standards and expectations for teacher performance across career stages. With the validation workshop, the PMES tools effectively reflected actual classroom practices as stipulated in the PPST and as expected of teachers today. ",1,,"June 2-5, 2025",,,,,,Pilot Testing of the draft PMES Tool for Distinguished Teachers,,
HROD Process Excellence,Performance Management - PMES for Teachers,PMES Tools for Teachers for SY 2025-2026 (across career stages),,,Finalization of the Draft Multi-Year PMES for Teachers,"With the issuance of DM No. 089, s. 2025, this workshop finalized the draft PMES tools for SY 2026–2027 in accordance with the Multi-Year PMES Guidelines (DM No. 089, s. 2025), ensuring alignment with the Philippine Professional Standards for Teachers (PPST).",1,,"November 24-27, 2025",,,,,,Validation of the draft PMES Tool for Distinguished Teachers,,
HROD Process Excellence,Performance Management - PMES for Teachers,PMES Tools for Teachers for SY 2025-2026 (across career stages),,,,,,,,,,,,,Finalization of the draft PMES Tool for Distinguished Teachers,,
HROD Process Excellence,Performance Management for School Heads,Developed Tools on Performance Management and Evaluation System aligned with the Philippine Professional Standards fror School Heads,"The PMES-PPSSH  tools were designed and developed to operationalize the Philippine Professional Standards for School Heads, providing a structured framework for assessing and enhancing school head performance. These tools include competency-based indicators, key result areas, and corresponding means of verification, ensuring alignment between school outcomes and individual leadership practices. The tools serve as a practical guide for implementing performance management, facilitating evidence-based evaluation, and supporting professional growth and career progression in accordance with the professional standards for school  heads.",2025-2026,Consultation Workshop and drafting of the PMES-PPSSH Tools ,A consultative workshop was conducted to draft and validate the PMES tools aligned with the Philippine Professional Standards for School Heads (PPSSH) and to establish the National Technical Working Group (TWG). Participants identified the school and school head practices and mapped out which PPSSH competencies are needed to perform the school head duties.,One consultative workshop conducted,,"December 9 to 12, 2025",,Validation Workshop of the draft PMES-PPSSH Tools (Batch 1),"A orkshop to review and validate the initial draft of the PMES–PPSSH tools, ensuring alignment of indicators and means of verification with the Philippine Professional Standards for School Heads.","November 5-7, 2025","January 21-23, 2026",,,
HROD Process Excellence,Performance Management for School Heads,Developed Tools on Performance Management and Evaluation System aligned with the Philippine Professional Standards fror School Heads,"The PMES-PPSSH  tools were designed and developed to operationalize the Philippine Professional Standards for School Heads, providing a structured framework for assessing and enhancing school head performance. These tools include competency-based indicators, key result areas, and corresponding means of verification, ensuring alignment between school outcomes and individual leadership practices. The tools serve as a practical guide for implementing performance management, facilitating evidence-based evaluation, and supporting professional growth and career progression in accordance with the professional standards for school  heads.",,,,,,,,Validation Workshop of the draft PMES-PPSSH Tools (Batch 2),,"November 12-14, 2025","February 11 to 13, 2026 ",,,
HROD Process Excellence,Performance Management for School Heads,Developed Tools on Performance Management and Evaluation System aligned with the Philippine Professional Standards fror School Heads,"The PMES-PPSSH  tools were designed and developed to operationalize the Philippine Professional Standards for School Heads, providing a structured framework for assessing and enhancing school head performance. These tools include competency-based indicators, key result areas, and corresponding means of verification, ensuring alignment between school outcomes and individual leadership practices. The tools serve as a practical guide for implementing performance management, facilitating evidence-based evaluation, and supporting professional growth and career progression in accordance with the professional standards for school  heads.",,,,,,,,Workshop on the Refinement of the draft PMES-PPSSH Tools,"Aims to consolidate inputs from previous validations and improve the draft PMES–PPSSH tools for accuracy, feasibility, and usability.","November 18-21, 2025","February 24 to 27, 2026",,,
HROD Process Excellence,Performance Management for School Heads,Developed Tools on Performance Management and Evaluation System aligned with the Philippine Professional Standards fror School Heads,"The PMES-PPSSH  tools were designed and developed to operationalize the Philippine Professional Standards for School Heads, providing a structured framework for assessing and enhancing school head performance. These tools include competency-based indicators, key result areas, and corresponding means of verification, ensuring alignment between school outcomes and individual leadership practices. The tools serve as a practical guide for implementing performance management, facilitating evidence-based evaluation, and supporting professional growth and career progression in accordance with the professional standards for school  heads.",,,,,,,,Pilot Testing of the draft PMES-PPSSH Tools with School Heads and its associated tools,"Pilot testing with selected school heads to assess the practicality, clarity, and effectiveness of the draft PMES–PPSSH tools and associated instruments.","November 25-28, 2025","March 10 to 13, 2026",,,
